id,x,y
326,1612605.57,4840919.26
327,1612611.188,4842364.121
328,1612611.67,4842208.117
329,1612611.688,4840323.873
330,1612612.66,4841989.69
331,1612614.78,4841080.19
332,1612615.77,4840578.33
333,1612616.507,4841335.448
334,1612616.58,4841158.27
335,1612616.69,4841846.52
336,1612618.86,4841838.61
337,1612618.918,4841992.994
338,1612619.448,4842399.667
339,1612620.466,4841731.368
340,1612620.59,4841760.653
341,1612622.58,4840734.82
342,1612623.714,4840493.146
343,1612624.63,4841565.68
344,1612626.181,4840689.15
345,1612626.76,4840641.9
346,1612627.187,4842432.717
347,1612627.44,4841082.91
348,1612627.8,4840766.31
349,1612628.85,4840729.24
350,1612629.159,4841431.668
351,1612629.51,4841480.979
352,1612630.62,4840212.64
353,1612633.009,4841431.451
354,1612634.71,4841484.33
355,1612635.14,4841434.57
356,1612635.14,4841476.79
357,1612635.701,4842469.071
358,1612636.04,4841391.93
359,1612636.271,4841509.305
360,1612637.574,4842435.64
361,1612637.67,4841421.67
362,1612639.17,4841392.16
363,1612639.5,4841247.2
364,1612639.692,4841989.217
365,1612641.73,4841412.79
366,1612641.873,4842495.428
367,1612642.12,4841970.871
368,1612645.14,4840518.41
369,1612645.87,4840506.34
370,1612648.473,4842353.632
371,1612648.6,4841422.62
372,1612649.08,4841509.24
373,1612649.72,4840775.99
374,1612649.87,4840567.48
375,1612650.12,4841412.96
376,1612650.277,4840525.985
377,1612650.41,4842070.03
378,1612650.66,4841086.22
379,1612650.96,4841161.29
380,1612650.994,4840500.921
381,1612651.08,4841560.78
382,1612652.61,4840130.8
383,1612656.04,4841560.13
384,1612656.68,4841531.28
385,1612659.233,4841508.601
386,1612659.59,4840635.45
387,1612659.62,4840059.84
388,1612660.23,4840527.5
389,1612662.271,4842430.546
390,1612663.067,4841967.512
391,1612664.49,4841256.7
392,1612665.851,4842348.581
393,1612666.5,4840713.56
394,1612667.8,4840499.62
395,1612669.382,4842462.035
396,1612669.69,4842017.81
397,1612671.17,4841088.33
398,1612671.7,4842141.49
399,1612672.07,4841162.19
400,1612673.77,4840522.02
401,1612674.01,4840508.01
402,1612675.31,4842062.74
403,1612676.41,4842384.544
404,1612679.395,4840713.147
405,1612680.345,4840685.319
406,1612684.58,4840053.22
407,1612685.433,4840734.544
408,1612685.982,4842427.864
409,1612686.566,4840675.643
410,1612688.75,4841006.75
411,1612690.1,4841265.05
412,1612692.04,4841163.68
413,1612692.25,4842457.258
414,1612692.29,4840189.11
415,1612693.55,4841728.18
416,1612695.93,4840758.77
417,1612697.47,4841651.42
418,1612697.64,4840896.27
419,1612697.733,4841392.04
420,1612698.7,4842482.9
421,1612702.032,4840748.436
422,1612702.83,4840710.19
423,1612702.87,4841529.77
424,1612703.43,4841504.79
425,1612704.096,4841358.649
426,1612704.41,4841684.64
427,1612704.986,4841401.28
428,1612705.142,4841414.253
429,1612705.164,4841478.67
430,1612705.24,4840047.37
431,1612705.55,4841420.27
432,1612705.77,4841578.76
433,1612705.9,4841051.84
434,1612707.1,4840688.05
435,1612707.864,4840543.534
436,1612708.337,4840670.114
437,1612710.2,4842125.73
438,1612710.98,4841078.51
439,1612712.363,4841723.26
440,1612713.55,4840751.239
441,1612714.28,4840609.075
442,1612714.59,4840525.24
443,1612717.05,4841270.71
444,1612717.3,4840729.26
445,1612717.33,4841133.11
446,1612717.94,4842334.924
447,1612718.63,4842253.21
448,1612718.69,4840627.923
449,1612720.232,4842424.295
450,1612720.4,4841698.49
451,1612720.73,4841683.49
452,1612720.87,4841766.18
453,1612721.14,4841159.78
454,1612721.23,4842328.04
455,1612721.64,4840676.94
456,1612723.99,4842476.75
457,1612724.72,4841838.36
458,1612725.16,4841698.82
459,1612726.655,4840549.263
460,1612728.69,4841710.71
461,1612730.29,4842185.87
462,1612730.41,4840626.43
463,1612730.57,4841715.79
464,1612731.453,4840047.473
465,1612732.143,4840574.226
466,1612735.29,4841952.76
467,1612736.63,4842224.03
468,1612737.72,4840732.25
469,1612738.343,4840602.429
470,1612738.487,4840060.978
471,1612739.67,4841415.3
472,1612740.28,4840179.55
473,1612742.02,4840487.15
474,1612743.51,4841365.84
475,1612745.2,4840625.946
476,1612748.09,4840500.57
477,1612748.12,4840026.72
478,1612748.51,4840676.52
479,1612748.616,4840121.751
480,1612749.63,4840476.52
481,1612752.96,4841474.68
482,1612753.78,4841478.87
483,1612754.4,4842469.74
484,1612756.097,4841502.97
485,1612757.58,4841129.39
486,1612760.03,4840048.666
487,1612760.865,4840662.166
488,1612761.42,4840727.3
489,1612763.62,4840500.45
490,1612764.6,4841177.93
491,1612765.16,4840746.36
492,1612765.6,4840680.96
493,1612766.28,4841188.91
494,1612766.58,4840474.26
495,1612767.356,4840130.445
496,1612767.96,4840721.7
497,1612769.14,4841420.348
498,1612769.29,4841416.95
499,1612770.84,4841127.4
500,1612771.59,4840495.05
501,1612772.14,4840689.54
502,1612772.29,4841944.57
503,1612773.14,4841726.6
504,1612773.79,4840483.91
505,1612774.17,4840704.04
506,1612774.688,4840664.93
507,1612776.03,4841500.206
508,1612776.34,4841275.29
509,1612776.978,4841175.118
510,1612777.29,4841933.19
511,1612779.191,4841532.388
512,1612780.392,4841770.676
513,1612781.138,4842183.727
514,1612783.143,4841698.06
515,1612784.45,4841973.63
516,1612784.71,4840735.428
517,1612787.218,4841754.729
518,1612787.679,4841714.028
519,1612790.412,4840104.651
520,1612790.61,4841476.41
521,1612791.16,4841497.55
522,1612791.276,4840682.555
523,1612791.47,4841488.78
524,1612791.6,4841123.87
525,1612792.75,4841426.43
526,1612793.702,4840492.683
527,1612794.099,4840707.288
528,1612794.18,4841276.76
529,1612794.386,4840718.84
530,1612795.12,4841369.58
531,1612795.24,4840571.62
532,1612795.41,4840113.86
533,1612795.66,4841531.27
534,1612796.58,4840866.91
535,1612797.904,4840120.126
536,1612798.77,4841172.09
537,1612800.657,4841644.946
538,1612801.66,4840800.318
539,1612802.62,4841221.1
